,name,url,promoted_content,query,tweet_volume
0,#MamtaBanerjee,http://twitter.com/search?q=%23MamtaBanerjee,,%23MamtaBanerjee,
1,#1MOTS7AlbumAllFormat,http://twitter.com/search?q=%231MOTS7AlbumAllFormat,,%231MOTS7AlbumAllFormat,191017.0
2,#IFPIGlobalAlbumAllFormatChart,http://twitter.com/search?q=%23IFPIGlobalAlbumAllFormatChart,,%23IFPIGlobalAlbumAllFormatChart,291353.0
3,Stop Fake News On SSR,http://twitter.com/search?q=%22Stop+Fake+News+On+SSR%22,,%22Stop+Fake+News+On+SSR%22,44065.0
4,#WhatDoYouBelieveIn,http://twitter.com/search?q=%23WhatDoYouBelieveIn,,%23WhatDoYouBelieveIn,1995003.0
5,#GlanceBeatsInstagram,http://twitter.com/search?q=%23GlanceBeatsInstagram,,%23GlanceBeatsInstagram,
6,BTS PAVED THE WAY,http://twitter.com/search?q=%22BTS+PAVED+THE+WAY%22,,%22BTS+PAVED+THE+WAY%22,88247.0
7,BTS WORLD DOMINATION,http://twitter.com/search?q=%22BTS+WORLD+DOMINATION%22,,%22BTS+WORLD+DOMINATION%22,71539.0
8,Drama,http://twitter.com/search?q=Drama,,Drama,203859.0
9,prashant kishore,http://twitter.com/search?q=%22prashant+kishore%22,,%22prashant+kishore%22,
10,Bambi,http://twitter.com/search?q=Bambi,,Bambi,221151.0
11,Nautanki,http://twitter.com/search?q=Nautanki,,Nautanki,
12,ETERNAL LOVE OF ASYA,http://twitter.com/search?q=%22ETERNAL+LOVE+OF+ASYA%22,,%22ETERNAL+LOVE+OF+ASYA%22,
13,RM1 IS COMING,http://twitter.com/search?q=%22RM1+IS+COMING%22,,%22RM1+IS+COMING%22,
14,HYBE,http://twitter.com/search?q=HYBE,,HYBE,298808.0
15,Congratulations Captain,http://twitter.com/search?q=%22Congratulations+Captain%22,,%22Congratulations+Captain%22,
16,baekhyun,http://twitter.com/search?q=baekhyun,,baekhyun,482701.0
17,bighit,http://twitter.com/search?q=bighit,,bighit,1135023.0
18,Oscar,http://twitter.com/search?q=Oscar,,Oscar,80406.0
19,SSKM,http://twitter.com/search?q=SSKM,,SSKM,
20,MAP OF THE SOUL,http://twitter.com/search?q=%22MAP+OF+THE+SOUL%22,,%22MAP+OF+THE+SOUL%22,299628.0
21,Congratulations BTS,http://twitter.com/search?q=%22Congratulations+BTS%22,,%22Congratulations+BTS%22,290528.0
22,Salem,http://twitter.com/search?q=Salem,,Salem,13993.0
23,Sympathy,http://twitter.com/search?q=Sympathy,,Sympathy,32011.0
24,rashami as palak in tandoor,http://twitter.com/search?q=%22rashami+as+palak+in+tandoor%22,,%22rashami+as+palak+in+tandoor%22,50525.0
25,JinHit,http://twitter.com/search?q=JinHit,,JinHit,47396.0
26,I BELIEVE IN YOU,http://twitter.com/search?q=%22I+BELIEVE+IN+YOU%22,,%22I+BELIEVE+IN+YOU%22,84171.0
27,Chief Minister,http://twitter.com/search?q=%22Chief+Minister%22,,%22Chief+Minister%22,24400.0
28,kim taehyung,http://twitter.com/search?q=%22kim+taehyung%22,,%22kim+taehyung%22,160122.0
29,your video,http://twitter.com/search?q=%22your+video%22,,%22your+video%22,502767.0
30,Woodward,http://twitter.com/search?q=Woodward,,Woodward,
31,India's GDP,http://twitter.com/search?q=%22India%27s+GDP%22,,%22India%27s+GDP%22,
32,WHAT IS HAPPENING,http://twitter.com/search?q=%22WHAT+IS+HAPPENING%22,,%22WHAT+IS+HAPPENING%22,53733.0
33,Kunal,http://twitter.com/search?q=Kunal,,Kunal,
34,Kejriwal,http://twitter.com/search?q=Kejriwal,,Kejriwal,16462.0
35,Security,http://twitter.com/search?q=Security,,Security,344011.0
36,herath,http://twitter.com/search?q=herath,,herath,
37,selcas,http://twitter.com/search?q=selcas,,selcas,45762.0
38,No Politics In SSR Case,http://twitter.com/search?q=%22No+Politics+In+SSR+Case%22,,%22No+Politics+In+SSR+Case%22,149098.0
39,Election Commission,http://twitter.com/search?q=%22Election+Commission%22,,%22Election+Commission%22,13338.0
40,राम राज्य,http://twitter.com/search?q=%22%E0%A4%B0%E0%A4%BE%E0%A4%AE+%E0%A4%B0%E0%A4%BE%E0%A4%9C%E0%A5%8D%E0%A4%AF%22,,%22%E0%A4%B0%E0%A4%BE%E0%A4%AE+%E0%A4%B0%E0%A4%BE%E0%A4%9C%E0%A5%8D%E0%A4%AF%22,
41,Mahesh,http://twitter.com/search?q=Mahesh,,Mahesh,17475.0
42,#PSPK27FirstLookTmrw,http://twitter.com/search?q=%23PSPK27FirstLookTmrw,,%23PSPK27FirstLookTmrw,125953.0
