,name,url,promoted_content,query,tweet_volume
0,#YuvrajSingh,http://twitter.com/search?q=%23YuvrajSingh,,%23YuvrajSingh,
1,#ZomatoDeliveryGuy,http://twitter.com/search?q=%23ZomatoDeliveryGuy,,%23ZomatoDeliveryGuy,23001.0
2,#RoadSafetyWorldSeries2021,http://twitter.com/search?q=%23RoadSafetyWorldSeries2021,,%23RoadSafetyWorldSeries2021,
3,#100DForதளபதிVIJAYBday,http://twitter.com/search?q=%23100DFor%E0%AE%A4%E0%AE%B3%E0%AE%AA%E0%AE%A4%E0%AE%BFVIJAYBday,,%23100DFor%E0%AE%A4%E0%AE%B3%E0%AE%AA%E0%AE%A4%E0%AE%BFVIJAYBday,368273.0
4,#7YearsOfJANASENA,http://twitter.com/search?q=%237YearsOfJANASENA,,%237YearsOfJANASENA,151186.0
5,Amey,http://twitter.com/search?q=Amey,,Amey,
6,Ziyech,http://twitter.com/search?q=Ziyech,,Ziyech,17831.0
7,Chilwell,http://twitter.com/search?q=Chilwell,,Chilwell,11230.0
8,Mendy,http://twitter.com/search?q=Mendy,,Mendy,19592.0
9,BHOI THE FOOTPATH DRIVER,http://twitter.com/search?q=%22BHOI+THE+FOOTPATH+DRIVER%22,,%22BHOI+THE+FOOTPATH+DRIVER%22,14076.0
10,Leeds,http://twitter.com/search?q=Leeds,,Leeds,57853.0
11,Tuchel,http://twitter.com/search?q=Tuchel,,Tuchel,23981.0
12,Pulisic,http://twitter.com/search?q=Pulisic,,Pulisic,18134.0
13,Arthiyas,http://twitter.com/search?q=Arthiyas,,Arthiyas,
14,ASIM X SHIVALEEKA COMING SOON,http://twitter.com/search?q=%22ASIM+X+SHIVALEEKA+COMING+SOON%22,,%22ASIM+X+SHIVALEEKA+COMING+SOON%22,57392.0
15,Yashwant Sinha,http://twitter.com/search?q=%22Yashwant+Sinha%22,,%22Yashwant+Sinha%22,15000.0
16,Kolkata On Roads 4 SSR,http://twitter.com/search?q=%22Kolkata+On+Roads+4+SSR%22,,%22Kolkata+On+Roads+4+SSR%22,137214.0
17,we love you aly,http://twitter.com/search?q=%22we+love+you+aly%22,,%22we+love+you+aly%22,75908.0
18,Sri Lanka,http://twitter.com/search?q=%22Sri+Lanka%22,,%22Sri+Lanka%22,17137.0
19,Thalapathy,http://twitter.com/search?q=Thalapathy,,Thalapathy,80621.0
20,Havertz,http://twitter.com/search?q=Havertz,,Havertz,16171.0
21,PROUD OF NIALL,http://twitter.com/search?q=%22PROUD+OF+NIALL%22,,%22PROUD+OF+NIALL%22,107564.0
22,Kante,http://twitter.com/search?q=Kante,,Kante,10276.0
23,Kandahar,http://twitter.com/search?q=Kandahar,,Kandahar,
24,PSBs,http://twitter.com/search?q=PSBs,,PSBs,
25,Tamils,http://twitter.com/search?q=Tamils,,Tamils,
26,Shiv Sena,http://twitter.com/search?q=%22Shiv+Sena%22,,%22Shiv+Sena%22,
27,Quran,http://twitter.com/search?q=Quran,,Quran,56736.0
28,Salman Khan,http://twitter.com/search?q=%22Salman+Khan%22,,%22Salman+Khan%22,25818.0
29,#StopSellingIndia,http://twitter.com/search?q=%23StopSellingIndia,,%23StopSellingIndia,62803.0
30,#INDLvsSAL,http://twitter.com/search?q=%23INDLvsSAL,,%23INDLvsSAL,
31,#PushpaRajRampageSoon,http://twitter.com/search?q=%23PushpaRajRampageSoon,,%23PushpaRajRampageSoon,117358.0
32,#SachinTendulkar,http://twitter.com/search?q=%23SachinTendulkar,,%23SachinTendulkar,
33,#MCFCATKMB,http://twitter.com/search?q=%23MCFCATKMB,,%23MCFCATKMB,
34,#Yuvi,http://twitter.com/search?q=%23Yuvi,,%23Yuvi,
