,name,url,promoted_content,query,tweet_volume
35,#SCST_ARE_NOT_HINDU,http://twitter.com/search?q=%23SCST_ARE_NOT_HINDU,,%23SCST_ARE_NOT_HINDU,20371.0
36,#GiftOfTrueLife,http://twitter.com/search?q=%23GiftOfTrueLife,,%23GiftOfTrueLife,
37,#HelpForLostPeople,http://twitter.com/search?q=%23HelpForLostPeople,,%23HelpForLostPeople,
38,#TrueLifeInitiative,http://twitter.com/search?q=%23TrueLifeInitiative,,%23TrueLifeInitiative,
39,#SpiritOfGenerosity,http://twitter.com/search?q=%23SpiritOfGenerosity,,%23SpiritOfGenerosity,
40,#HeroISLFinal,http://twitter.com/search?q=%23HeroISLFinal,,%23HeroISLFinal,
41,#SaintDrGurmeetRamRahimJi,http://twitter.com/search?q=%23SaintDrGurmeetRamRahimJi,,%23SaintDrGurmeetRamRahimJi,
42,#LetsCrackIT,http://twitter.com/search?q=%23LetsCrackIT,,%23LetsCrackIT,
43,#TellMeWhyRG,http://twitter.com/search?q=%23TellMeWhyRG,,%23TellMeWhyRG,
44,#puneethrajkumarbdaycdp,http://twitter.com/search?q=%23puneethrajkumarbdaycdp,,%23puneethrajkumarbdaycdp,175260.0
45,#SexyCutieLeaderJihoonDay,http://twitter.com/search?q=%23SexyCutieLeaderJihoonDay,,%23SexyCutieLeaderJihoonDay,861286.0
46,#지훈이의_스물두번째_봄을_축하해,http://twitter.com/search?q=%23%EC%A7%80%ED%9B%88%EC%9D%B4%EC%9D%98_%EC%8A%A4%EB%AC%BC%EB%91%90%EB%B2%88%EC%A7%B8_%EB%B4%84%EC%9D%84_%EC%B6%95%ED%95%98%ED%95%B4,,%23%EC%A7%80%ED%9B%88%EC%9D%B4%EC%9D%98_%EC%8A%A4%EB%AC%BC%EB%91%90%EB%B2%88%EC%A7%B8_%EB%B4%84%EC%9D%84_%EC%B6%95%ED%95%98%ED%95%B4,873776.0
47,#HappyBirthdayAamirKhan,http://twitter.com/search?q=%23HappyBirthdayAamirKhan,,%23HappyBirthdayAamirKhan,28052.0
48,#BheemUnleashesIn7Months,http://twitter.com/search?q=%23BheemUnleashesIn7Months,,%23BheemUnleashesIn7Months,70137.0
49,#LEECHE,http://twitter.com/search?q=%23LEECHE,,%23LEECHE,40974.0
