,name,url,promoted_content,query,tweet_volume
0,#INDvENG,http://twitter.com/search?q=%23INDvENG,,%23INDvENG,98205.0
1,#IshanKishan,http://twitter.com/search?q=%23IshanKishan,,%23IshanKishan,
2,#ViratKohli,http://twitter.com/search?q=%23ViratKohli,,%23ViratKohli,12636.0
3,Lamela,http://twitter.com/search?q=Lamela,,Lamela,121242.0
4,#ARSTOT,http://twitter.com/search?q=%23ARSTOT,,%23ARSTOT,71063.0
5,#StrikeToSaveIndia,http://twitter.com/search?q=%23StrikeToSaveIndia,,%23StrikeToSaveIndia,121018.0
6,Ben Stokes,http://twitter.com/search?q=%22Ben+Stokes%22,,%22Ben+Stokes%22,
7,Grammys,http://twitter.com/search?q=Grammys,,Grammys,1126729.0
8,Tanmays Superchat,http://twitter.com/search?q=%22Tanmays+Superchat%22,,%22Tanmays+Superchat%22,
9,9 Months Fighting 4 SSR,http://twitter.com/search?q=%229+Months+Fighting+4+SSR%22,,%229+Months+Fighting+4+SSR%22,54140.0
10,Rabona,http://twitter.com/search?q=Rabona,,Rabona,33774.0
11,Doherty,http://twitter.com/search?q=Doherty,,Doherty,16687.0
12,Rohit,http://twitter.com/search?q=Rohit,,Rohit,42237.0
13,Laca,http://twitter.com/search?q=Laca,,Laca,
14,Tierney,http://twitter.com/search?q=Tierney,,Tierney,13741.0
15,Jharkhand,http://twitter.com/search?q=Jharkhand,,Jharkhand,23200.0
16,KL Rahul,http://twitter.com/search?q=%22KL+Rahul%22,,%22KL+Rahul%22,
17,Depay,http://twitter.com/search?q=Depay,,Depay,23574.0
18,Auba,http://twitter.com/search?q=Auba,,Auba,12589.0
19,KHKT LIVES ON,http://twitter.com/search?q=%22KHKT+LIVES+ON%22,,%22KHKT+LIVES+ON%22,14963.0
20,Spurs,http://twitter.com/search?q=Spurs,,Spurs,46237.0
21,Tom Curran,http://twitter.com/search?q=%22Tom+Curran%22,,%22Tom+Curran%22,
22,Mumbai Indians,http://twitter.com/search?q=%22Mumbai+Indians%22,,%22Mumbai+Indians%22,
23,Chase Master,http://twitter.com/search?q=%22Chase+Master%22,,%22Chase+Master%22,
24,Babri Demolition,http://twitter.com/search?q=%22Babri+Demolition%22,,%22Babri+Demolition%22,
25,Dhawan,http://twitter.com/search?q=Dhawan,,Dhawan,
26,sehun,http://twitter.com/search?q=sehun,,sehun,92415.0
27,Odegaard,http://twitter.com/search?q=Odegaard,,Odegaard,10137.0
28,Arteta,http://twitter.com/search?q=Arteta,,Arteta,20790.0
29,Debut,http://twitter.com/search?q=Debut,,Debut,591186.0
30,Saka,http://twitter.com/search?q=Saka,,Saka,60873.0
31,ईशान किशन,http://twitter.com/search?q=%22%E0%A4%88%E0%A4%B6%E0%A4%BE%E0%A4%A8+%E0%A4%95%E0%A4%BF%E0%A4%B6%E0%A4%A8%22,,%22%E0%A4%88%E0%A4%B6%E0%A4%BE%E0%A4%A8+%E0%A4%95%E0%A4%BF%E0%A4%B6%E0%A4%A8%22,
32,Quran Sharif,http://twitter.com/search?q=%22Quran+Sharif%22,,%22Quran+Sharif%22,55413.0
33,Memphis,http://twitter.com/search?q=Memphis,,Memphis,21437.0
34,Hardik,http://twitter.com/search?q=Hardik,,Hardik,
35,Shardul thakur,http://twitter.com/search?q=%22Shardul+thakur%22,,%22Shardul+thakur%22,
36,Vaughan,http://twitter.com/search?q=Vaughan,,Vaughan,
37,Buttler,http://twitter.com/search?q=Buttler,,Buttler,
38,Sam Curran,http://twitter.com/search?q=%22Sam+Curran%22,,%22Sam+Curran%22,
39,Bhuvi,http://twitter.com/search?q=Bhuvi,,Bhuvi,
40,Fielding,http://twitter.com/search?q=Fielding,,Fielding,
41,Bumrah,http://twitter.com/search?q=Bumrah,,Bumrah,
42,Cedric,http://twitter.com/search?q=Cedric,,Cedric,10867.0
43,Mourinho,http://twitter.com/search?q=Mourinho,,Mourinho,10008.0
44,Cristiano,http://twitter.com/search?q=Cristiano,,Cristiano,58439.0
45,#TeamIndia,http://twitter.com/search?q=%23TeamIndia,,%23TeamIndia,19117.0
46,#FakeTheoryInIslamOnRebirth,http://twitter.com/search?q=%23FakeTheoryInIslamOnRebirth,,%23FakeTheoryInIslamOnRebirth,290160.0
47,#AskHimesh,http://twitter.com/search?q=%23AskHimesh,,%23AskHimesh,
48,#LightItUpBTS,http://twitter.com/search?q=%23LightItUpBTS,,%23LightItUpBTS,81252.0
49,#HappyBirthdayAliaBhatt,http://twitter.com/search?q=%23HappyBirthdayAliaBhatt,,%23HappyBirthdayAliaBhatt,11023.0
